@index,measuredValue.basicData.@xsi:type,measuredValue.basicData.measurementOrCalculationPeriod,measuredValue.basicData.forVehiclesWithCharacteristicsOf.vehicleType,measuredValue.basicData.averageVehicleSpeed.speed,DateTime,ID
22,TrafficSpeed,900.0,lorry,254.0,2025-09-03T02:05:00.000+02:00,14043024
22,TrafficSpeed,900.0,lorry,254.0,2025-09-03T02:05:00.000+02:00,14043025
22,TrafficSpeed,900.0,lorry,254.0,2025-09-03T02:05:00.000+02:00,14043027
22,TrafficSpeed,900.0,lorry,254.0,2025-09-03T02:05:00.000+02:00,14043028
22,TrafficSpeed,900.0,lorry,254.0,2025-09-03T02:05:00.000+02:00,14043029
22,TrafficSpeed,900.0,lorry,254.0,2025-09-03T02:05:00.000+02:00,14043030
22,TrafficSpeed,900.0,lorry,254.0,2025-09-03T02:05:00.000+02:00,14043031
22,TrafficSpeed,900.0,lorry,254.0,2025-09-03T02:05:00.000+02:00,14043032
22,TrafficSpeed,900.0,lorry,254.0,2025-09-03T02:05:00.000+02:00,14043034
22,TrafficSpeed,900.0,lorry,254.0,2025-09-03T02:05:00.000+02:00,14043035
22,TrafficSpeed,900.0,lorry,254.0,2025-09-03T02:05:00.000+02:00,14043036
21,TrafficSpeed,900.0,carOrLightVehicle,0.0,2025-09-03T02:05:00.000+02:00,14043037
21,TrafficSpeed,900.0,carOrLightVehicle,0.0,2025-09-03T02:05:00.000+02:00,14043038
21,TrafficSpeed,900.0,carOrLightVehicle,0.0,2025-09-03T02:05:00.000+02:00,14043040
21,TrafficSpeed,900.0,carOrLightVehicle,0.0,2025-09-03T02:05:00.000+02:00,14043041
22,TrafficSpeed,900.0,lorry,236.0,2025-09-03T02:05:00.000+02:00,14043044
21,TrafficSpeed,900.0,carOrLightVehicle,0.0,2025-09-03T02:05:00.000+02:00,14043049
21,TrafficSpeed,900.0,carOrLightVehicle,0.0,2025-09-03T02:05:00.000+02:00,14043050
21,TrafficSpeed,900.0,carOrLightVehicle,0.0,2025-09-03T02:05:00.000+02:00,14043056
21,TrafficSpeed,900.0,carOrLightVehicle,0.0,2025-09-03T02:05:00.000+02:00,14043059
22,TrafficSpeed,900.0,lorry,0.0,2025-09-03T02:05:00.000+02:00,4001012
22,TrafficSpeed,900.0,lorry,0.0,2025-09-03T02:05:00.000+02:00,4001013
22,TrafficSpeed,900.0,lorry,0.0,2025-09-03T02:05:00.000+02:00,4005011
22,TrafficSpeed,900.0,lorry,225.0,2025-09-03T02:05:00.000+02:00,4005012
22,TrafficSpeed,900.0,lorry,0.0,2025-09-03T02:05:00.000+02:00,4005013
22,TrafficSpeed,900.0,lorry,0.0,2025-09-03T02:05:00.000+02:00,4005014
22,TrafficSpeed,900.0,lorry,190.0,2025-09-03T02:05:00.000+02:00,4005015
22,TrafficSpeed,900.0,lorry,0.0,2025-09-03T02:05:00.000+02:00,4005016
22,TrafficSpeed,900.0,lorry,0.0,2025-09-03T02:05:00.000+02:00,4012011
22,TrafficSpeed,900.0,lorry,159.0,2025-09-03T02:05:00.000+02:00,4012012
22,TrafficSpeed,900.0,lorry,0.0,2025-09-03T02:05:00.000+02:00,4012013
22,TrafficSpeed,900.0,lorry,0.0,2025-09-03T02:05:00.000+02:00,4012014
22,TrafficSpeed,900.0,lorry,174.0,2025-09-03T02:05:00.000+02:00,4012015
22,TrafficSpeed,900.0,lorry,147.0,2025-09-03T02:05:00.000+02:00,4012016
22,TrafficSpeed,900.0,lorry,0.0,2025-09-03T02:05:00.000+02:00,4014011
22,TrafficSpeed,900.0,lorry,100.0,2025-09-03T02:05:00.000+02:00,4014012
22,TrafficSpeed,900.0,lorry,254.0,2025-09-03T02:05:00.000+02:00,4014013
22,TrafficSpeed,900.0,lorry,0.0,2025-09-03T02:05:00.000+02:00,4014014
22,TrafficSpeed,900.0,lorry,87.0,2025-09-03T02:05:00.000+02:00,4014015
22,TrafficSpeed,900.0,lorry,0.0,2025-09-03T02:05:00.000+02:00,4014016
22,TrafficSpeed,900.0,lorry,0.0,2025-09-03T02:05:00.000+02:00,4019011
22,TrafficSpeed,900.0,lorry,0.0,2025-09-03T02:05:00.000+02:00,4019012
22,TrafficSpeed,900.0,lorry,0.0,2025-09-03T02:05:00.000+02:00,4019013
22,TrafficSpeed,900.0,lorry,0.0,2025-09-03T02:05:00.000+02:00,4020013
22,TrafficSpeed,900.0,lorry,0.0,2025-09-03T02:05:00.000+02:00,4020014
22,TrafficSpeed,900.0,lorry,0.0,2025-09-03T02:05:00.000+02:00,4045011
22,TrafficSpeed,900.0,lorry,0.0,2025-09-03T02:05:00.000+02:00,4048011
22,TrafficSpeed,900.0,lorry,123.0,2025-09-03T02:05:00.000+02:00,4048012
22,TrafficSpeed,900.0,lorry,0.0,2025-09-03T02:05:00.000+02:00,4050011
22,TrafficSpeed,900.0,lorry,0.0,2025-09-03T02:05:00.000+02:00,4050012
22,TrafficSpeed,900.0,lorry,0.0,2025-09-03T02:05:00.000+02:00,4051011
22,TrafficSpeed,900.0,lorry,0.0,2025-09-03T02:05:00.000+02:00,4051012
22,TrafficSpeed,900.0,lorry,0.0,2025-09-03T02:05:00.000+02:00,4054011
22,TrafficSpeed,900.0,lorry,0.0,2025-09-03T02:05:00.000+02:00,4054012
22,TrafficSpeed,900.0,lorry,0.0,2025-09-03T02:05:00.000+02:00,4055011
22,TrafficSpeed,900.0,lorry,0.0,2025-09-03T02:05:00.000+02:00,4055012
22,TrafficSpeed,900.0,lorry,0.0,2025-09-03T02:05:00.000+02:00,4059011
22,TrafficSpeed,900.0,lorry,0.0,2025-09-03T02:05:00.000+02:00,4059012
22,TrafficSpeed,900.0,lorry,0.0,2025-09-03T02:05:00.000+02:00,4059013
22,TrafficSpeed,900.0,lorry,0.0,2025-09-03T02:05:00.000+02:00,4061011
22,TrafficSpeed,900.0,lorry,0.0,2025-09-03T02:05:00.000+02:00,4061012
22,TrafficSpeed,900.0,lorry,87.0,2025-09-03T02:05:00.000+02:00,4063011
22,TrafficSpeed,900.0,lorry,0.0,2025-09-03T02:05:00.000+02:00,4063012
22,TrafficSpeed,900.0,lorry,0.0,2025-09-03T02:05:00.000+02:00,4066011
22,TrafficSpeed,900.0,lorry,0.0,2025-09-03T02:05:00.000+02:00,4066012
22,TrafficSpeed,900.0,lorry,0.0,2025-09-03T02:05:00.000+02:00,4070011
22,TrafficSpeed,900.0,lorry,0.0,2025-09-03T02:05:00.000+02:00,4070012
22,TrafficSpeed,900.0,lorry,0.0,2025-09-03T02:05:00.000+02:00,4071011
22,TrafficSpeed,900.0,lorry,0.0,2025-09-03T02:05:00.000+02:00,4071012
22,TrafficSpeed,900.0,lorry,0.0,2025-09-03T02:05:00.000+02:00,4072011
22,TrafficSpeed,900.0,lorry,0.0,2025-09-03T02:05:00.000+02:00,4072012
22,TrafficSpeed,900.0,lorry,0.0,2025-09-03T02:05:00.000+02:00,4073011
22,TrafficSpeed,900.0,lorry,0.0,2025-09-03T02:05:00.000+02:00,4073012
22,TrafficSpeed,900.0,lorry,0.0,2025-09-03T02:05:00.000+02:00,4077011
22,TrafficSpeed,900.0,lorry,0.0,2025-09-03T02:05:00.000+02:00,4077012
22,TrafficSpeed,900.0,lorry,0.0,2025-09-03T02:05:00.000+02:00,4081011
22,TrafficSpeed,900.0,lorry,0.0,2025-09-03T02:05:00.000+02:00,4081012
22,TrafficSpeed,900.0,lorry,0.0,2025-09-03T02:05:00.000+02:00,4087011
22,TrafficSpeed,900.0,lorry,0.0,2025-09-03T02:05:00.000+02:00,4087012
22,TrafficSpeed,900.0,lorry,0.0,2025-09-03T02:05:00.000+02:00,4088011
22,TrafficSpeed,900.0,lorry,0.0,2025-09-03T02:05:00.000+02:00,4089011
22,TrafficSpeed,900.0,lorry,0.0,2025-09-03T02:05:00.000+02:00,4093011
22,TrafficSpeed,900.0,lorry,0.0,2025-09-03T02:05:00.000+02:00,4099011
22,TrafficSpeed,900.0,lorry,0.0,2025-09-03T02:05:00.000+02:00,4099012
22,TrafficSpeed,900.0,lorry,169.0,2025-09-03T02:05:00.000+02:00,4099013
22,TrafficSpeed,900.0,lorry,0.0,2025-09-03T02:05:00.000+02:00,4108011
22,TrafficSpeed,900.0,lorry,0.0,2025-09-03T02:05:00.000+02:00,4108012
22,TrafficSpeed,900.0,lorry,0.0,2025-09-03T02:05:00.000+02:00,4108022
22,TrafficSpeed,900.0,lorry,0.0,2025-09-03T02:05:00.000+02:00,4110011
22,TrafficSpeed,900.0,lorry,175.0,2025-09-03T02:05:00.000+02:00,4110012
22,TrafficSpeed,900.0,lorry,114.0,2025-09-03T02:05:00.000+02:00,4110021
22,TrafficSpeed,900.0,lorry,0.0,2025-09-03T02:05:00.000+02:00,4110022
22,TrafficSpeed,900.0,lorry,0.0,2025-09-03T02:05:00.000+02:00,4111011
22,TrafficSpeed,900.0,lorry,0.0,2025-09-03T02:05:00.000+02:00,4111012
22,TrafficSpeed,900.0,lorry,129.0,2025-09-03T02:05:00.000+02:00,4111013
22,TrafficSpeed,900.0,lorry,0.0,2025-09-03T02:05:00.000+02:00,4111014
22,TrafficSpeed,900.0,lorry,0.0,2025-09-03T02:05:00.000+02:00,4112011
22,TrafficSpeed,900.0,lorry,0.0,2025-09-03T02:05:00.000+02:00,4112012
22,TrafficSpeed,900.0,lorry,0.0,2025-09-03T02:05:00.000+02:00,4118014
22,TrafficSpeed,900.0,lorry,0.0,2025-09-03T02:05:00.000+02:00,14043004
22,TrafficSpeed,900.0,lorry,0.0,2025-09-03T02:05:00.000+02:00,14043005
22,TrafficSpeed,900.0,lorry,0.0,2025-09-03T02:05:00.000+02:00,14043006
22,TrafficSpeed,900.0,lorry,0.0,2025-09-03T02:05:00.000+02:00,14043007
22,TrafficSpeed,900.0,lorry,0.0,2025-09-03T02:05:00.000+02:00,14043008
22,TrafficSpeed,900.0,lorry,0.0,2025-09-03T02:05:00.000+02:00,14043012
22,TrafficSpeed,900.0,lorry,0.0,2025-09-03T02:05:00.000+02:00,14043013
22,TrafficSpeed,900.0,lorry,0.0,2025-09-03T02:05:00.000+02:00,14043014
22,TrafficSpeed,900.0,lorry,0.0,2025-09-03T02:05:00.000+02:00,14043015
22,TrafficSpeed,900.0,lorry,0.0,2025-09-03T02:05:00.000+02:00,14043037
22,TrafficSpeed,900.0,lorry,0.0,2025-09-03T02:05:00.000+02:00,14043038
22,TrafficSpeed,900.0,lorry,0.0,2025-09-03T02:05:00.000+02:00,14043040
22,TrafficSpeed,900.0,lorry,0.0,2025-09-03T02:05:00.000+02:00,14043041
22,TrafficSpeed,900.0,lorry,0.0,2025-09-03T02:05:00.000+02:00,14043049
22,TrafficSpeed,900.0,lorry,0.0,2025-09-03T02:05:00.000+02:00,14043050
22,TrafficSpeed,900.0,lorry,0.0,2025-09-03T02:05:00.000+02:00,14043056
22,TrafficSpeed,900.0,lorry,0.0,2025-09-03T02:05:00.000+02:00,14043059
21,TrafficSpeed,900.0,carOrLightVehicle,254.0,2025-09-03T02:20:00.000+02:00,14043016
21,TrafficSpeed,900.0,carOrLightVehicle,254.0,2025-09-03T02:20:00.000+02:00,14043017
21,TrafficSpeed,900.0,carOrLightVehicle,254.0,2025-09-03T02:20:00.000+02:00,14043018
21,TrafficSpeed,900.0,carOrLightVehicle,254.0,2025-09-03T02:20:00.000+02:00,14043020
